Unnamed: 0	wavelength	counts
229	318.757088	148.0
230	319.128836	137.0
231	319.500549	128.0
232	319.872228	137.0
233	320.243873	134.0
234	320.615482	138.0
235	320.987057	130.0
236	321.358598	123.0
237	321.730104	124.0
238	322.101575	133.0
239	322.473011	133.0
240	322.844413	171.0
241	323.215781	136.0
242	323.587113	129.0
243	323.958411	131.0
244	324.329674	135.0
245	324.700903	136.0
246	325.072096	134.0
247	325.443255	134.0
248	325.81438	132.0
249	326.185469	154.0
250	326.556524	135.0
251	326.927544	147.0
252	327.298529	135.0
253	327.66948	139.0
254	328.040396	144.0
255	328.411277	132.0
256	328.782123	129.0
257	329.152934	132.0
258	329.523711	143.0
259	329.894452	132.0
260	330.265159	128.0
261	330.635831	131.0
262	331.006468	129.0
263	331.377071	129.0
264	331.747638	132.0
265	332.118171	186.0
266	332.488668	141.0
267	332.859131	131.0
268	333.229559	130.0
269	333.599951	131.0
270	333.970309	132.0
271	334.340632	136.0
272	334.71092	135.0
273	335.081174	134.0
274	335.451392	140.0
275	335.821575	129.0
276	336.191723	134.0
277	336.561836	128.0
278	336.931914	132.0
279	337.301957	130.0
280	337.671966	129.0
281	338.041939	133.0
282	338.411877	131.0
283	338.78178	138.0
284	339.151648	131.0
285	339.521481	141.0
286	339.891278	134.0
287	340.261041	137.0
288	340.630769	132.0
289	341.000461	136.0
290	341.370119	124.0
291	341.739741	131.0
292	342.109328	130.0
293	342.47888	129.0
294	342.848397	135.0
295	343.217878	135.0
296	343.587325	129.0
297	343.956736	130.0
298	344.326112	132.0
299	344.695453	133.0
300	345.064759	130.0
301	345.43403	136.0
302	345.803265	140.0
303	346.172465	132.0
304	346.54163	145.0
305	346.910759	134.0
306	347.279854	130.0
307	347.648913	164.0
308	348.017936	143.0
309	348.386925	133.0
310	348.755878	127.0
311	349.124796	169.0
312	349.493678	137.0
313	349.862526	130.0
314	350.231337	134.0
315	350.600114	129.0
316	350.968855	135.0
317	351.337561	128.0
318	351.706231	126.0
319	352.074866	131.0
320	352.443466	131.0
321	352.81203	130.0
322	353.180559	132.0
323	353.549053	143.0
324	353.917511	133.0
325	354.285933	125.0
326	354.65432	134.0
327	355.022672	137.0
328	355.390988	138.0
329	355.759269	124.0
330	356.127514	129.0
331	356.495724	131.0
332	356.863898	133.0
333	357.232037	131.0
334	357.60014	128.0
335	357.968208	133.0
336	358.33624	137.0
337	358.704237	129.0
338	359.072198	132.0
339	359.440123	130.0
340	359.808013	127.0
341	360.175867	129.0
342	360.543686	183.0
343	360.911469	133.0
344	361.279217	133.0
345	361.646929	132.0
346	362.014605	127.0
347	362.382246	134.0
348	362.749851	136.0
349	363.11742	140.0
350	363.484954	143.0
351	363.852452	132.0
352	364.219914	132.0
353	364.587341	128.0
354	364.954732	129.0
355	365.322087	137.0
356	365.689406	131.0
357	366.05669	128.0
358	366.423938	131.0
359	366.79115	129.0
360	367.158327	130.0
361	367.525468	129.0
362	367.892573	135.0
363	368.259642	132.0
364	368.626675	129.0
365	368.993673	138.0
366	369.360634	131.0
367	369.72756	129.0
368	370.094451	132.0
369	370.461305	130.0
370	370.828123	155.0
371	371.194906	137.0
372	371.561653	125.0
373	371.928363	130.0
374	372.295038	130.0
375	372.661677	131.0
376	373.02828	135.0
377	373.394848	132.0
378	373.761379	137.0
379	374.127874	133.0
380	374.494334	130.0
381	374.860757	140.0
382	375.227145	125.0
383	375.593496	133.0
384	375.959812	129.0
385	376.326091	125.0
386	376.692335	137.0
387	377.058543	131.0
388	377.424714	129.0
389	377.79085	126.0
390	378.156949	134.0
391	378.523013	131.0
392	378.88904	126.0
393	379.255031	126.0
394	379.620987	128.0
395	379.986906	134.0
396	380.352789	133.0
397	380.718636	131.0
398	381.084447	129.0
399	381.450222	134.0
400	381.81596	138.0
401	382.181663	129.0
402	382.547329	132.0
403	382.91296	125.0
404	383.278554	125.0
405	383.644111	133.0
406	384.009633	134.0
407	384.375119	128.0
408	384.740568	135.0
409	385.105981	131.0
410	385.471358	128.0
411	385.836699	127.0
412	386.202003	126.0
413	386.567271	166.0
414	386.932503	141.0
415	387.297699	128.0
416	387.662858	133.0
417	388.027982	135.0
418	388.393068	134.0
419	388.758119	129.0
420	389.123133	130.0
421	389.488111	130.0
422	389.853053	179.0
423	390.217958	140.0
424	390.582827	136.0
425	390.947659	130.0
426	391.312456	132.0
427	391.677215	126.0
428	392.041939	138.0
429	392.406626	138.0
430	392.771277	132.0
431	393.135891	134.0
432	393.500469	143.0
433	393.86501	132.0
434	394.229515	128.0
435	394.593983	131.0
436	394.958415	133.0
437	395.322811	133.0
438	395.68717	127.0
439	396.051493	126.0
440	396.415779	127.0
441	396.780028	133.0
442	397.144242	131.0
443	397.508418	128.0
444	397.872558	131.0
445	398.236662	129.0
446	398.600729	134.0
447	398.964759	135.0
448	399.328753	132.0
449	399.69271	133.0
450	400.056631	129.0
451	400.420515	122.0
452	400.784363	127.0
453	401.148174	141.0
454	401.511948	136.0
455	401.875685	128.0
456	402.239386	137.0
457	402.603051	136.0
458	402.966678	132.0
459	403.330269	131.0
460	403.693824	134.0
461	404.057342	129.0
462	404.420822	129.0
463	404.784267	129.0
464	405.147674	129.0
465	405.511045	127.0
466	405.874379	126.0
467	406.237677	128.0
468	406.600937	129.0
469	406.964161	132.0
470	407.327348	131.0
471	407.690498	136.0
472	408.053612	130.0
473	408.416689	136.0
474	408.779729	171.0
475	409.142732	140.0
476	409.505698	129.0
477	409.868627	130.0
478	410.23152	126.0
479	410.594376	122.0
480	410.957195	133.0
481	411.319977	129.0
482	411.682722	125.0
483	412.04543	126.0
484	412.408101	128.0
485	412.770736	126.0
486	413.133333	130.0
487	413.495894	139.0
488	413.858418	134.0
489	414.220905	133.0
490	414.583354	126.0
491	414.945767	126.0
492	415.308143	139.0
493	415.670482	131.0
494	416.032784	133.0
495	416.395049	133.0
496	416.757277	131.0
497	417.119467	135.0
498	417.481621	134.0
499	417.843738	154.0
500	418.205818	133.0
501	418.567861	127.0
502	418.929866	131.0
503	419.291835	129.0
504	419.653766	134.0
505	420.015661	131.0
506	420.377518	128.0
507	420.739338	136.0
508	421.101121	134.0
509	421.462867	129.0
510	421.824576	128.0
511	422.186248	129.0
512	422.547882	130.0
513	422.90948	131.0
514	423.27104	128.0
515	423.632563	132.0
516	423.994049	130.0
517	424.355497	174.0
518	424.716909	128.0
519	425.078283	130.0
520	425.43962	162.0
521	425.80092	132.0
522	426.162182	135.0
