	wavelength	counts
414	386.932503	136.0
415	387.297699	127.0
416	387.662858	128.0
417	388.027982	131.0
418	388.393068	129.0
419	388.758119	125.0
420	389.123133	123.0
421	389.488111	128.0
422	389.853053	170.0
423	390.217958	132.0
424	390.582827	129.0
425	390.947659	127.0
426	391.312456	127.0
427	391.677215	129.0
428	392.041939	127.0
429	392.406626	128.0
430	392.771277	126.0
431	393.135891	133.0
432	393.500469	141.0
433	393.86501	132.0
434	394.229515	127.0
435	394.593983	129.0
436	394.958415	132.0
437	395.322811	132.0
438	395.68717	129.0
439	396.051493	130.0
440	396.415779	128.0
441	396.780028	128.0
442	397.144242	130.0
443	397.508418	124.0
444	397.872558	127.0
445	398.236662	125.0
446	398.600729	130.0
447	398.964759	129.0
448	399.328753	126.0
449	399.69271	133.0
450	400.056631	126.0
451	400.420515	129.0
452	400.784363	127.0
453	401.148174	136.0
454	401.511948	128.0
455	401.875685	126.0
456	402.239386	128.0
457	402.603051	131.0
458	402.966678	131.0
459	403.330269	133.0
460	403.693824	133.0
461	404.057342	124.0
462	404.420822	127.0
463	404.784267	128.0
464	405.147674	126.0
465	405.511045	127.0
466	405.874379	126.0
467	406.237677	126.0
468	406.600937	126.0
469	406.964161	129.0
470	407.327348	124.0
471	407.690498	132.0
472	408.053612	129.0
473	408.416689	129.0
474	408.779729	161.0
475	409.142732	134.0
476	409.505698	130.0
477	409.868627	128.0
478	410.23152	128.0
479	410.594376	128.0
480	410.957195	129.0
481	411.319977	126.0
482	411.682722	126.0
483	412.04543	125.0
484	412.408101	129.0
485	412.770736	124.0
486	413.133333	122.0
487	413.495894	129.0
488	413.858418	130.0
489	414.220905	126.0
490	414.583354	123.0
491	414.945767	125.0
492	415.308143	135.0
493	415.670482	125.0
494	416.032784	123.0
495	416.395049	131.0
496	416.757277	129.0
497	417.119467	135.0
498	417.481621	129.0
499	417.843738	146.0
500	418.205818	129.0
501	418.567861	125.0
502	418.929866	127.0
503	419.291835	130.0
504	419.653766	128.0
505	420.015661	129.0
506	420.377518	125.0
507	420.739338	132.0
508	421.101121	133.0
509	421.462867	124.0
510	421.824576	124.0
511	422.186248	125.0
512	422.547882	127.0
513	422.90948	133.0
514	423.27104	129.0
515	423.632563	136.0
516	423.994049	125.0
517	424.355497	170.0
518	424.716909	130.0
519	425.078283	130.0
520	425.43962	148.0
521	425.80092	127.0
522	426.162182	129.0
523	426.523407	132.0
524	426.884595	126.0
525	427.245746	126.0
526	427.60686	133.0
527	427.967936	125.0
528	428.328975	122.0
529	428.689976	127.0
530	429.05094	120.0
531	429.411867	123.0
532	429.772757	129.0
533	430.133609	133.0
534	430.494424	132.0
535	430.855201	128.0
